runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,par_rownumber,returns,volatility,sharpe,sortino
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,12,8.54864120483,315.119140403,0.244502836098,0.262175299731
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,12,-0.542160630226,20.1011206942,0.0276941525863,0.0337210969529
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,13,2.39522147179,240.887978418,-0.135887327646,-0.551202961162
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,13,1.00627064705,172.307401364,0.159911973108,0.169301778307
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,14,3.72406578064,143.017930426,0.0159730335693,0.0277193170154
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.0,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,14,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,15,2.37538146973,88.7527328819,0.131875478598,0.151171918432
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,15,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,16,10.1228466034,334.06879828,0.139454837444,0.143475747357
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,16,6.29105043411,202.951684259,0.115304174349,0.115613402073
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,17,8.83531284332,341.037104843,0.254670771675,0.265022670226
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,17,-1.73767656088,237.304532458,-0.0632734812251,-0.143695088187
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,18,-0.333502411842,131.520374814,-0.108004433638,-1.27138743366
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,18,-1.48567986488,51.7844684697,0.0607492987395,0.066264438779
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,19,7.01426315308,291.820512026,0.246730390845,0.262178805128
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,19,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,20,5.88064527512,235.394871731,-0.0762064137253,-0.521190646369
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,20,2.71400213242,136.753834228,0.136798624186,0.151838486285
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,21,1.39859890938,115.603577525,0.118724679084,0.144797897022
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,21,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,22,3.20029306412,126.772559397,0.148027221016,0.158353610111
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,22,2.78970885277,83.9428118397,-0.0889081281647,-0.291414787042
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,23,2.32224917412,178.066188317,0.122600336234,0.131465788169
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,23,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,24,8.81369495392,325.222570262,-0.0527738879548,-0.169624880516
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,24,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,25,5.76721048355,215.589615281,0.084604780255,0.0859226855643
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,25,-0.936628974974,20.8751761343,-0.0921012819337,-0.931154998304
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2011-06-26 00:00:00,2011-12-25 00:00:00,2011-12-25 00:00:00,2012-06-24 00:00:00,26,11.0085115433,396.555351549,0.117496526621,0.118922402665
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2011-06-26 00:00:00,2011-12-25 00:00:00,2011-12-25 00:00:00,2012-06-24 00:00:00,26,-11.6572847366,544.232663204,0.118033476511,0.118666183874
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,27,7.30516147614,262.380146214,0.217593929101,0.240719338006
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,27,-0.542160630226,20.1011206942,0.0276941525863,0.0337210969529
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,28,2.77912473679,243.374266654,-0.105137377565,-0.775891024268
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,28,1.00627064705,172.307401364,0.159911973108,0.169301778307
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,29,2.85413646698,150.818105191,-0.115861515056,-0.525844098291
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,0.5,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,29,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,30,4.0435757637,136.980435595,0.157108253251,0.178035266987
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,30,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,31,7.73064041138,286.391383493,0.135930298492,0.139871972576
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,31,4.49510812759,144.579618239,0.123353512251,0.131469760476
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,32,7.38642311096,266.770661376,0.256483451988,0.263228655784
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,32,-3.10375952721,322.332597395,0.0856679552837,0.0965854292291
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,33,0.557774186134,107.059056867,-0.0897546218138,-1.11940371976
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2007-07-01 00:00:00,2007-12-30 00:00:00,2007-12-30 00:00:00,2008-06-29 00:00:00,33,-1.48567986488,51.7844684697,0.0607492987395,0.066264438779
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,34,5.64855003357,247.500531103,0.210538898516,0.226263159755
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2007-12-30 00:00:00,2008-06-29 00:00:00,2008-06-29 00:00:00,2008-12-28 00:00:00,34,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,35,6.8942399025,250.971609557,-0.0064812596295,-0.01296843988
