2005-01-04,100.0
2005-01-05,101.67191314697266
2005-01-06,100.99345397949219
2005-01-07,100.65422821044922
2005-01-10,102.01114654541016
2005-01-11,101.67191314697266
2005-01-12,103.92536926269531
2005-01-13,101.30845642089844
2005-01-14,101.86576080322266
2005-01-18,103.80421447753906
2005-01-19,102.85922241210938
2005-01-20,101.8415298461914
2005-01-21,100.19384765625
2005-01-24,99.32154083251953
2005-01-25,99.73345947265625
2005-01-26,99.7576904296875
2005-01-27,101.9869155883789
2005-01-28,99.87884521484375
2005-01-31,101.23576354980469
2005-02-01,102.1323013305664
2005-02-02,104.50690460205078
2005-02-03,104.04652404785156
2005-02-04,105.2095947265625
2005-02-07,105.03997802734375
2005-02-08,107.0511245727539
2005-02-09,108.79573822021484
2005-02-10,108.26265716552734
2005-02-11,108.84420013427734
2005-02-14,108.6261215209961
2005-02-15,109.42573547363281
2005-02-16,108.3838119506836
2005-02-17,107.87496948242188
2005-02-18,106.10613250732422
2005-02-22,104.84613800048828
2005-02-23,105.98497772216797
2005-02-24,108.4322738647461
2005-02-25,110.54034423828125
2005-02-28,110.49188232421875
2005-03-01,109.54688262939453
2005-03-02,111.17034149169922
2005-03-03,115.43494415283203
2005-03-04,117.34916687011719
2005-03-07,117.20378112792969
2005-03-08,116.88877868652344
2005-03-09,116.08917236328125
2005-03-10,116.54955291748047
2005-03-11,115.580322265625
2005-03-14,116.0164794921875
2005-03-15,117.5672378540039
2005-03-16,114.1264877319336
2005-03-17,114.36878967285156
2005-03-18,114.90186309814453
2005-03-21,114.27186584472656
2005-03-22,115.02301788330078
2005-03-23,114.27186584472656
2005-03-24,114.17494201660156
2005-03-28,116.79185485839844
2005-03-29,115.09571075439453
2005-03-30,118.17300415039062
2005-03-31,117.5187759399414
2005-04-01,118.17300415039062
