,runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,returns,volatility,sharpe,sortino
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-117.4338684,57.11214041,0.124356845,0.124030047
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,274.6512451,88.28101701,-0.109087853,-1.324469456
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-467.3722839,168.6888087,0.011556164,0.020474592
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,272.953186,95.43456215,-0.029067379,-0.066941339
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,158.7878876,68.27424917,0.119470808,0.120155295
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,153.9118652,53.76994824,0.003502907,0.005495683
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-117.4338684,57.11214041,0.124356845,0.124030047
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,341.6382141,119.4430702,-0.106822605,-1.126899511
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-467.3722839,168.6888087,0.011556164,0.020474592
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,195.7259064,61.90817046,-0.030704945,-0.070577116
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,178.3608856,76.52599796,0.113532801,0.114214618
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,254.1761169,94.15303341,0.116690113,0.116518121
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-117.4338684,57.11214041,0.124356845,0.124030047
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,235.9069672,99.36822651,-0.103588996,-0.737638918
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-467.3722839,168.6888087,0.011556164,0.020474592
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,150.115097,51.12327362,-0.033791355,-0.077835905
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,1.5,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,178.3608856,76.52599796,0.113532801,0.114214618
