Time,Value,Signal_bs,Signal_enterExit
2010-07-19,13.171782493591309,Exit,sell
2010-07-20,13.171782493591309,hold,hold
2010-07-21,13.171782493591309,hold,hold
2010-07-22,13.171782493591309,hold,hold
2010-07-23,13.171782493591309,Enter,sell
2010-07-26,12.868453979492188,hold,hold
2010-07-27,13.025716781616211,hold,hold
2010-07-28,13.898191452026367,hold,hold
2010-07-29,13.780848503112793,hold,hold
2010-07-30,12.924003601074219,hold,hold
2010-08-02,12.567512512207031,hold,hold
2010-08-03,12.464110374450684,hold,hold
2010-08-04,12.649715423583984,hold,hold
2010-08-05,13.095258712768555,hold,hold
2010-08-06,12.917298316955566,hold,hold
2010-08-09,12.924507141113281,hold,hold
2010-08-10,12.96115493774414,hold,hold
2010-08-11,14.387248992919922,hold,hold
2010-08-12,14.963111877441406,hold,hold
2010-08-13,14.63658618927002,hold,hold
2010-08-16,15.062446594238281,hold,hold
2010-08-17,14.155628204345703,Enter,sell
2010-08-18,14.218648910522461,hold,hold
2010-08-19,14.683416366577148,hold,hold
2010-08-20,14.525822639465332,hold,hold
2010-08-23,15.550649642944336,hold,hold
2010-08-24,17.08244514465332,Exit,buy
2010-08-25,17.08244514465332,hold,hold
2010-08-26,17.08244514465332,Exit,sell
2010-08-27,17.08244514465332,hold,hold
2010-08-30,17.08244514465332,hold,hold
2010-08-31,17.08244514465332,hold,hold
2010-09-01,17.08244514465332,Exit,buy
2010-09-02,17.08244514465332,Exit,sell
2010-09-03,17.08244514465332,hold,hold
2010-09-07,17.08244514465332,hold,hold
2010-09-08,17.08244514465332,hold,hold
2010-09-09,17.08244514465332,Exit,buy
2010-09-10,17.08244514465332,hold,hold
2010-09-13,17.08244514465332,hold,hold
2010-09-14,17.08244514465332,hold,hold
2010-09-15,17.08244514465332,hold,hold
2010-09-16,17.08244514465332,hold,hold
2010-09-17,17.08244514465332,hold,hold
2010-09-20,17.08244514465332,hold,hold
2010-09-21,17.08244514465332,hold,hold
2010-09-22,17.08244514465332,hold,hold
2010-09-23,17.08244514465332,hold,hold
2010-09-24,17.08244514465332,hold,hold
2010-09-27,17.08244514465332,hold,hold
2010-09-28,17.08244514465332,hold,hold
2010-09-29,17.08244514465332,Exit,sell
2010-09-30,17.08244514465332,hold,hold
2010-10-01,17.08244514465332,hold,hold
2010-10-04,17.08244514465332,hold,hold
2010-10-05,17.08244514465332,hold,hold
2010-10-06,17.08244514465332,hold,hold
2010-10-07,17.08244514465332,hold,hold
2010-10-08,17.08244514465332,hold,hold
2010-10-11,17.08244514465332,hold,hold
2010-10-12,17.08244514465332,hold,hold
2010-10-13,17.08244514465332,hold,hold
2010-10-14,17.08244514465332,hold,hold
2010-10-15,17.08244514465332,hold,hold
2010-10-18,17.08244514465332,hold,hold
2010-10-19,17.08244514465332,hold,hold
2010-10-20,17.08244514465332,Enter,sell
2010-10-21,17.036649703979492,hold,hold
2010-10-22,17.393760681152344,hold,hold
2010-10-25,17.128250122070312,hold,hold
2010-10-26,17.469152450561523,hold,hold
2010-10-27,17.745363235473633,hold,hold
2010-10-28,17.415313720703125,hold,hold
2010-10-29,17.981874465942383,hold,hold
2010-11-01,18.182357788085938,hold,hold
2010-11-02,19.256593704223633,hold,hold
2010-11-03,19.85447120666504,hold,hold
2010-11-04,19.085693359375,Enter,sell
2010-11-05,18.901599884033203,hold,hold
2010-11-08,19.79440689086914,hold,hold
2010-11-09,20.260421752929688,hold,hold
2010-11-10,22.559768676757812,Exit,buy
2010-11-11,22.559768676757812,hold,hold
2010-11-12,22.559768676757812,hold,hold
2010-11-15,22.559768676757812,hold,hold
2010-11-16,22.559768676757812,hold,hold
2010-11-17,22.559768676757812,hold,hold
2010-11-18,22.559768676757812,hold,hold
2010-11-19,22.559768676757812,hold,hold
2010-11-22,22.559768676757812,hold,hold
2010-11-23,22.559768676757812,hold,hold
2010-11-24,22.559768676757812,hold,hold
2010-11-26,22.559768676757812,hold,hold
2010-11-29,22.559768676757812,hold,hold
2010-11-30,22.559768676757812,hold,hold
2010-12-01,22.559768676757812,hold,hold
2010-12-02,22.559768676757812,hold,hold
2010-12-03,22.559768676757812,hold,hold
2010-12-06,22.559768676757812,hold,hold
2010-12-07,22.559768676757812,Enter,buy
2010-12-08,21.36557960510254,hold,hold
2010-12-09,20.61282730102539,hold,hold
2010-12-10,19.849275588989258,hold,hold
2010-12-13,19.496572494506836,hold,hold
2010-12-14,20.115636825561523,hold,hold
2010-12-15,20.162311553955078,hold,hold
2010-12-16,19.967941284179688,hold,hold
2010-12-17,20.52106475830078,hold,hold
2010-12-20,18.70817756652832,hold,hold
2010-12-21,19.23921775817871,hold,hold
