0,DD_duration_end,DD_duration_length,DD_duration_start,DD_level_end,DD_level_length,DD_level_start,ETL_1,ETL_5,entry_scale,exit_scale,maxDD_duration,maxDD_level,returns,runType,runtype,series_X,series_Y,sharpe,sortino,test_end,test_start,train_end,train_start,volatility
0,,,,,,,,,2.0,0.0,,,3.4620819091796875,,train,x,y,-0.06475506488959543,-0.17784561977014055,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,2.460452948113363
0,,,,,,,,,2.0,0.5,,,9.11584186553955,,train,x,y,0.17125670323186598,0.18338542193367113,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.983497851635678
0,,,,,,,,,2.0,0.5,,,2.189713478088379,,test,x,y,-0.006902440067910668,-0.009637947563640602,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,1.84792390234791
0,,,,,,,,,2.0,0.5,,,5.825746059417725,,train,x,y,0.17199253759617103,0.18519731423538316,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,2.1097533350594118
0,,,,,,,,,2.0,0.5,,,-27.89650535583496,,test,x,y,0.06996835678907991,0.07376725380708556,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,9.970566447705378
0,,,,,,,,,2.0,0.5,,,5.795900344848633,,train,x,y,-0.07219579102785494,-0.24318042193091774,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,3.4837851640780806
0,,,,,,,,,2.5,0.0,,,10.094015121459961,,train,x,y,0.17427705179068712,0.1876856909369908,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.9342127538997667
0,,,,,,,,,2.5,0.0,,,5.060967922210693,,test,x,y,0.029877263338725615,0.03721897441645688,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.142483753312508
0,,,,,,,,,2.5,0.0,,,3.7121219635009766,,train,x,y,0.13716464998464026,0.14458942579366516,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,1.64124831798894
0,,,,,,,,,2.5,0.0,,,-27.89650535583496,,test,x,y,0.06996835678907991,0.07376725380708556,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,9.970566447705378
0,,,,,,,,,2.5,0.0,,,5.324308395385742,,train,x,y,-0.05958393652470168,-0.163674949620059,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,2.445224597553523
0,,,,,,,,,2.5,0.5,,,9.402294158935547,,train,x,y,0.17187553881191045,0.18511646575690993,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,3.096069620144586
0,,,,,,,,,2.5,0.5,,,4.625699043273926,,test,x,y,0.029417551718749393,0.03664701461802873,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,1.9723859213971147
0,,,,,,,,,2.5,0.5,,,2.3514254093170166,,train,x,y,0.12983878129125248,0.1376983547487585,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,1.0047125200514604
0,,,,,,,,,2.5,0.5,,,-27.89650535583496,,test,x,y,0.06996835678907991,0.07376725380708556,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,9.970566447705378
0,,,,,,,,,2.5,0.5,,,8.22525691986084,,train,x,y,-0.06741294093556059,-0.22882172135320658,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,3.733045384121779
0,,,,,,,,,3.0,0.0,,,6.144526958465576,,train,x,y,0.1568633301449116,0.16985484072864315,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.5996399364952825
0,,,,,,,,,3.0,0.0,,,4.319569110870361,,test,x,y,0.029034761413339886,0.03617107505423758,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.1326609590669436
0,,,,,,,,,3.0,0.0,,,5.457808017730713,,train,x,y,0.1753831330886584,0.18663928214812506,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,2.0007106620666146
0,,,,,,,,,3.0,0.0,,,-27.50228500366211,,test,x,y,0.09336567546505248,0.09338965056443382,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,9.876367047460418
0,,,,,,,,,3.0,0.0,,,5.327392101287842,,train,x,y,-0.05973986314838551,-0.16482488485875516,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,2.4463791618925392
0,,,,,,,,,3.0,0.5,,,6.144526958465576,,train,x,y,0.1568633301449116,0.16985484072864315,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,2.5996399364952825
0,,,,,,,,,3.0,0.5,,,3.8843002319335938,,test,x,y,0.028499521686947478,0.035505171128193735,2012-12-30 00:00:00,2012-07-01 00:00:00,2012-07-01 00:00:00,2012-01-01 00:00:00,1.9626799830637398
0,,,,,,,,,3.0,0.5,,,4.097111701965332,,train,x,y,0.16017579917110641,0.1721927901033835,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,1.3547670797310598
0,,,,,,,,,3.0,0.5,,,-27.50228500366211,,test,x,y,0.09336567546505248,0.09338965056443382,2013-06-30 00:00:00,2012-12-30 00:00:00,2012-12-30 00:00:00,2012-07-01 00:00:00,9.876367047460418
0,,,,,,,,,3.0,0.5,,,4.608462810516357,,train,x,y,-0.07911555297188479,-0.2794913027324073,2013-12-29 00:00:00,2013-06-30 00:00:00,2013-06-30 00:00:00,2012-12-30 00:00:00,2.1441577162356094
