short_win,long_win,start_evaluation,end_evaluation,returns,volatility,sharpe,sortino,maxDD_level,DD_level_start,DD_level_end,DD_level_length,maxDD_duration,DD_duration_start,DD_duration_end,DD_duration_length,ETL_5,ETL_1
5,10,2010-07-10,2010-08-09,0.14038896560668945,72.67250479104335,0.24283795426343896,0.28485550078062527,104.5999755859375,2010-07-14 00:00:00,2010-07-19 00:00:00,"-5 days, 0:00:00",104.5999755859375,2010-07-14 00:00:00,2010-07-23 00:00:00,"-9 days, 0:00:00",-64.300048828125,
5,10,2010-06-10,2010-07-10,-0.07978487014770508,57.73622929386004,-0.1163701730737023,-0.20559221370016137,193.2999267578125,2010-06-21 00:00:00,2010-06-25 00:00:00,"-4 days, 0:00:00",193.2999267578125,2010-06-21 00:00:00,2010-07-09 00:00:00,"-18 days, 0:00:00",-96.300048828125,
5,10,2010-05-11,2010-06-10,-0.10133767127990723,138.71952494336244,-0.11001667526419558,-0.16058683051081893,473.300048828125,2010-05-25 00:00:00,2010-06-10 00:00:00,"-16 days, 0:00:00",473.300048828125,2010-05-25 00:00:00,2010-06-10 00:00:00,"-16 days, 0:00:00",-121.7000732421875,
5,10,2010-04-11,2010-05-11,0.21028101444244385,129.6810649365011,0.29485890907452833,0.3615750606823622,114.800048828125,2010-05-07 00:00:00,2010-05-10 00:00:00,"-3 days, 0:00:00",87.2999267578125,2010-04-15 00:00:00,2010-04-28 00:00:00,"-13 days, 0:00:00",-114.800048828125,
5,10,2010-03-12,2010-04-11,0.13391458988189697,52.957261887324165,0.2887840252600309,0.3422279858442601,42.5999755859375,2010-03-19 00:00:00,2010-03-22 00:00:00,"-3 days, 0:00:00",32.0999755859375,2010-03-12 00:00:00,2010-03-16 00:00:00,"-4 days, 0:00:00",,
5,10,2010-02-10,2010-03-12,-0.010335206985473633,69.10098439880538,0.015887806035296048,0.023841118186936985,225.70001220703125,2010-02-10 00:00:00,2010-02-25 00:00:00,"-15 days, 0:00:00",225.70001220703125,2010-02-10 00:00:00,2010-03-12 00:00:00,"-30 days, 0:00:00",-96.0,
5,30,2011-12-02,2012-01-01,0.21526753902435303,46.45866003117808,0.17738814578117604,0.21339107968424684,129.70001220703125,2011-12-05 00:00:00,2011-12-14 00:00:00,"-9 days, 0:00:00",129.70001220703125,2011-12-05 00:00:00,2011-12-16 00:00:00,"-11 days, 0:00:00",,
5,30,2011-11-02,2011-12-02,-0.2520294189453125,70.25736533510792,-0.08493986706031116,-0.12857214612728346,288.70001220703125,2011-11-25 00:00:00,2011-12-02 00:00:00,"-7 days, 0:00:00",172.5999755859375,2011-11-09 00:00:00,2011-11-24 00:00:00,"-15 days, 0:00:00",-103.39996337890625,
5,30,2011-10-03,2011-11-02,-0.3425755500793457,105.70408855069678,-0.1593873329307768,-0.23622738295977747,385.5999755859375,2011-10-04 00:00:00,2011-10-21 00:00:00,"-17 days, 0:00:00",385.5999755859375,2011-10-04 00:00:00,2011-11-02 00:00:00,"-29 days, 0:00:00",-139.60003662109375,
5,30,2011-09-03,2011-10-03,0.380340576171875,98.85292730595478,0.2115306790036822,0.25438209671953915,170.0999755859375,2011-09-26 00:00:00,2011-09-28 00:00:00,"-2 days, 0:00:00",139.5,2011-09-14 00:00:00,2011-09-21 00:00:00,"-7 days, 0:00:00",-135.89996337890625,
